,Postal Code,City,State,Overall Niche Grade,Public Schools,Crime & Safety,Housing,Nightlife,Good for Families,Diversity,Jobs,Weather,Cost of Living,Health & Fitness,Outdoor Activities,Commute
1148,67623,Alton,KS,B,B,A+,A-,B-,B-,C+,B+,C+,A,C,C,C+
1149,43359,Wharton,OH,C+,B-,B,B+,C,B,C,A-,C+,A,C,B+,B-
1150,15860,Sigel,PA,C+,B-,A-,A-,C+,B-,C,B+,C-,A-,C,C+,C+
1152,80310,Boulder,CO,A,A+,B,C,C+,B,C-,B,C+,C-,A,A,A+
1155,98250,Friday Harbor,WA,A,A-,NG,C,B,A-,B-,B,A+,C-,A+,A-,A
1159,66043,Lansing,KS,A-,B+,C+,A-,B,A,B+,A-,B,B+,B,B+,C+
1161,18230,Junedale,PA,C-,B-,B,C+,C+,C,C,C-,B-,B-,C,B+,C-
1162,50126,Iowa Falls,IA,B+,B,A-,A-,A-,B,B-,B+,B,A,B,C,A-
1164,25958,Charmco,WV,C,C+,A,C+,B-,B-,C-,C,NG,A,C,B,C+
1165,17978,Spring Glen,PA,C-,C+,B,C+,C-,C,C,B-,B,B+,C,B-,C+
1166,44680,Strasburg,OH,B,B-,A-,B+,A-,B,C+,B,C+,A-,C,B+,B
1167,54952,Menasha,WI,A-,B+,A,B+,A,A-,B-,A-,C,A-,A-,B-,A-
1168,22211,Fort Myer,VA,B,A+,NG,C-,C+,A-,B-,D,B,C,B+,A,A-
1169,44699,Tippecanoe,OH,C,C,B,B,C-,C+,C,A-,B+,A-,C+,B-,C-
1170,06851,Norwalk,CT,B+,B-,B-,C-,B,B+,A,B-,C+,C-,A+,A,A-
1171,22931,Covesville,VA,A-,A-,NG,A-,C,A,B,A,A-,B-,B,B,B-
1172,83427,Iona,ID,C,C,B-,B-,C,B-,C+,B,C-,B-,B-,B-,C+
1173,21028,Churchville,MD,B+,A-,B-,B,C,A-,B,B+,B+,B-,B,A-,B
1175,77375,Tomball,TX,A,A,C-,B+,A,A,A,A-,B+,B,A,B+,B
1176,56670,Redby,MN,C-,D+,C,D+,C,C-,NG,C,C+,A-,C+,B,B+
1177,95488,Westport,CA,B-,B,C,C-,C,C+,C+,C+,A+,C,B,B+,C-
1178,62974,Pittsburg,IL,C-,C+,B,C+,C-,C,C,C+,B-,A-,C+,C+,C+
1179,47577,Saint Meinrad,IN,B-,A-,NG,A,C-,B,C,B-,B,A,C+,B-,C+
1181,76856,Mason,TX,B+,A,NG,B+,B-,B+,A-,A-,A-,B+,C+,C-,B+
1182,49233,Cement City,MI,B-,B-,A-,B+,A-,B,C+,B-,C+,B+,C+,B+,C-
1183,48432,Filion,MI,B-,B-,A-,B+,C,B-,C,B,B-,A-,C+,B-,B+
1184,73701,Enid,OK,B,B-,B-,B+,A-,C+,NG,B,A-,A,B,D,A-
1186,35033,Bremen,AL,C+,B,B,B+,C+,B-,C,B,B-,A-,C,C+,C-
1188,97534,O Brien,OR,D+,C-,C+,D-,B,D-,B,C,B-,C-,B-,B,C-
1189,58545,Hazen,ND,A-,C+,A,A+,A-,B+,C+,A+,B+,A,B,C-,A-
1190,14411,Albion,NY,B,B-,B,B-,A-,B,B+,C+,C,B,A-,A-,B
1191,46064,Pendleton,IN,B+,B+,C+,A,B,B+,B,B+,B-,A-,B+,C,C+
1192,42123,Austin,KY,C,B-,B,B,C-,B-,C+,B+,B-,A,C,C+,C+
1193,99727,Buckland,AK,D+,D-,D+,C+,C+,D,NG,C+,NG,A-,C,D,B-
1195,46917,Camden,IN,B-,B,B+,B+,B-,B+,C,B,B-,A,C,C+,C+
1196,37087,Lebanon,TN,B+,B+,B-,B-,A-,B,B+,B+,B-,B,B,C+,A-
1199,39174,Tougaloo,MS,B,A-,B,A-,B,C,D-,A+,B+,A,C+,B-,B-
1200,61442,Keithsburg,IL,B-,C+,A+,B+,A-,B-,C+,C+,B+,A,C,C-,C+
1201,26224,Helvetia,WV,C,C-,NG,A-,B-,C+,C-,C,C-,A+,C,B-,D-
1202,71439,Hornbeck,LA,C,B,C-,B+,C,C,C+,B+,B+,A,C-,C-,C+
1204,23359,Hallwood,VA,C,C+,B-,C,C-,C+,A,C-,A,B+,C,B-,C+
1205,13090,Liverpool,NY,A-,B,C,B,A-,A-,B,B+,C-,B-,A-,A-,A-
1207,46774,New Haven,IN,B,B-,C,B+,A-,C+,B-,B,B,A,B+,C-,A-
1208,31055,Mc Rae Helena,GA,B-,C,A,B-,B-,B-,A,B,A,A-,C+,C,B
1209,68949,Holdrege,NE,B,B,B+,B+,B,B,B-,A,B-,A-,B,C-,B
1210,81212,Canon City,CO,B-,C,B,C+,A-,C,B+,C+,C-,B-,A,C+,A
1211,97479,Sutherlin,OR,C+,C+,B-,C-,B+,C,B-,C,A+,C+,B+,B-,B
1212,67340,Dearing,KS,C,C+,C+,B,C-,C,C+,B-,B,A,C,C-,C-
1213,36856,Fort Mitchell,AL,B-,C,C-,B-,B,C+,A,B-,A,B,C+,C+,B-
1214,79233,Estelline,TX,C,B-,B+,A-,C-,C+,C+,A-,B,A+,C,D,C-
1216,22938,Faber,VA,B,B,NG,B,C,B+,A-,B,A-,B,B-,B,C+
1219,55812,Duluth,MN,A,A-,B-,B-,A,A,B-,B+,C-,B,A-,A-,A
1220,29081,Ehrhardt,SC,C+,C+,C-,B,C+,C+,A-,C,A-,A-,C-,C+,C+
1221,43504,Berkey,OH,C+,B+,C-,B,C-,B,C+,B-,C+,B+,C,B+,B-
1222,67009,Attica,KS,B,B-,A-,A-,B-,B,B,A,B,A,C-,D+,B
1224,64647,Jameson,MO,C,B-,A,A-,C-,C+,C,C+,B,A,C,D+,C-
1225,02812,Carolina,RI,B,B,A-,C+,C-,A-,C+,B-,B-,C+,B-,B,C+
1226,26818,Fisher,WV,C-,C+,A-,B-,C-,B-,C,C-,B,B,C-,B-,C-
1228,62664,Mason City,IL,B-,C+,A-,B,A-,C+,C+,B-,B,A-,C,C-,B
1229,25035,Cabin Creek,WV,C-,C-,C-,B,C,C-,C+,C,B+,A,C,B,C+
1231,80497,Silverthorne,CO,B,B+,B-,C+,B,B,B,B,C,C-,A,A-,C-
1232,49028,Bronson,MI,B,B-,B,B+,A-,B,B-,B,B,A,C+,B+,A-
1233,91024,Sierra Madre,CA,A,B+,C,C-,A-,B+,A-,B,A,C-,A+,A,A-
1234,14802,Alfred,NY,A,B+,A+,C,A,A-,B-,B-,C-,C,B-,B-,B+
1235,22641,Strasburg,VA,D,B-,A-,D,C-,D+,C-,D,B,C+,B-,B,C-
1236,54545,Manitowish Waters,WI,B,A-,A-,C,B+,B,C,C+,C-,B,B-,B-,B
1237,43162,West Jefferson,OH,B,B,B+,B,B+,B+,C+,A-,B-,A-,B-,B+,B-
1238,03290,Nottingham,NH,B,B+,B+,B,B-,B+,C,B+,C+,C+,B,B,B
1239,24945,Greenville,WV,C-,C+,NG,B,C-,C+,C-,D+,NG,A,C,B,C-
1240,28075,Harrisburg,NC,A,A,B-,A-,A-,A,B+,B+,B+,B,B+,B+,C
1242,70665,Sulphur,LA,B,B,C,A-,B+,B,B-,A-,A,A-,C,B-,C+
1243,03450,Harrisville,NH,B,NG,B+,B,C-,B+,C+,B,C,C+,B-,B,C+
1245,55043,Lakeland,MN,A,A,B+,A-,A-,A,C+,A-,C,B+,B+,A-,A-
1246,56325,Elrosa,MN,B-,B+,B-,B+,A,B-,C+,B,C,A-,B-,B-,C+
1247,43782,Shawnee,OH,C-,C+,B,B-,B-,C+,C-,C-,C+,A,C-,B-,C+
1248,56738,Newfolden,MN,B-,B,NG,A,B-,B,C,A-,C-,A,C+,C,C+
1249,05674,Warren,VT,A-,A-,B+,B,B+,A-,C+,A-,D+,B-,B+,B,C+
1250,51447,Kirkman,IA,C,B-,NG,A,C-,C,C,B,B-,A,C,C-,C-
1251,68777,Spencer,NE,B,B-,NG,A,C+,B+,C+,A-,C,A+,C,C+,B+
1254,42326,Browder,KY,C-,C+,A-,B,C-,C+,C+,D-,B,A-,C-,C+,C-
1256,48313,Sterling Heights,MI,A-,B+,B-,B+,A-,A-,B-,B+,C+,B+,B,A-,B+
1257,12083,Greenville,NY,B,B-,A+,B,B+,B+,C+,B,C+,B,B,B,B
1258,12916,Brushton,NY,C+,C,A-,B+,C,B-,C+,B-,C,A-,C+,B,C+
1259,37059,Dowelltown,TN,C+,B-,C+,A,C-,B-,B-,C+,B-,A,C-,C+,C+
1260,48074,Smiths Creek,MI,B-,C,B-,B,B+,B-,B-,B-,B-,A-,A-,C+,B-
1261,75481,Sulphur Bluff,TX,C+,C+,B-,B-,C+,C,C+,A-,B+,A,C+,B-,C-
1262,48634,Linwood,MI,B-,B-,B-,B+,A-,C+,C+,B,B,A,C+,C+,C+
1263,02833,Hopkinton,RI,C+,B,A-,C+,C-,B-,C+,B-,B-,B,B-,B+,C-
1264,60130,Forest Park,IL,A-,C,C-,C-,A,B,A+,B-,B-,B-,B+,A-,A
1265,56181,Welcome,MN,B-,B,B+,B+,B-,B,B-,B,C+,A,C,B-,C+
1266,76660,Malone,TX,B,B+,B,A-,B,B,B+,B,A-,A,B,C+,C+
1267,43529,Hoytville,OH,C+,B-,A-,B+,C+,B,B+,B-,B-,A,C+,B-,C-
1268,37878,Tallassee,TN,C,B-,B-,B+,C+,C+,NG,C+,B,A,C,B-,C-
1270,64638,Dawn,MO,C+,B,B,A-,C-,B-,C,C+,B,A,C+,D,C-
1271,67743,Levant,KS,C+,C+,A-,A,C,B-,D+,C,C,A+,C+,D+,C+
1272,24090,Fincastle,VA,B+,A-,NG,B+,C,A-,B-,B+,B+,B,B,B-,B-
1275,97531,Kerby,OR,D,C-,C+,D-,C,D+,B-,D-,B-,C-,B-,B-,C-
1276,68835,Elba,NE,B-,C+,NG,A+,C,B-,C,A,NG,A,C,C,C+
1277,05036,Brookfield,VT,B-,C+,A+,C+,B-,B-,C,B,C-,C+,B,B,B
1278,50650,Lamont,IA,B-,B,A+,B+,C-,B,C,B+,B-,A,C,C-,B
1280,38916,Calhoun City,MS,B-,C+,NG,B,B-,B,A-,C,B+,A,C+,B-,B
1281,83705,Boise,ID,A-,B,B,B-,A,B+,B+,B-,B-,B-,A,A-,A
1282,62413,Annapolis,IL,C,C,A-,B+,C-,B-,C,C+,A-,A+,C,C+,C-
1283,30354,Atlanta,GA,B,C-,C-,C-,A,C+,B+,C,B+,B+,A,A-,B
1284,47611,Chrisney,IN,B-,A-,NG,A+,C-,A-,C,B,B,A+,C+,B-,C-
1285,68437,Shubert,NE,B-,C+,A,A-,B,B,C+,B+,NG,A,C-,C+,C-
1286,58275,Reynolds,ND,B,B,B-,A,C,B,C+,A-,C-,A,C+,C,B
1287,33308,Fort Lauderdale,FL,A-,B-,C+,C-,A-,B-,B+,B,A,C,A,A-,A
1288,85705,Tucson,AZ,B+,B,C,C,A,B-,A-,C-,A,B,A+,A-,A
1289,53110,Cudahy,WI,B,B-,C-,C,A-,B-,B+,C+,C+,B,B+,A,A-
1290,43972,Bannock,OH,C-,B,B+,C+,C,D,D,D,C+,A,C-,C,B-
1291,63565,Unionville,MO,B-,C+,A,B+,B-,B,C,B,B+,A,C,D+,B
1292,95988,Willows,CA,B-,C-,C+,C-,B+,C,A,C+,B+,B-,B+,B,A-
1293,15350,Muse,PA,C,A-,B,C+,C-,B-,B-,C+,C,A-,C+,B-,C+
1294,77016,Houston,TX,B-,B,C-,B-,C,B-,B+,B-,B+,A-,B,A-,B
1295,45888,Uniopolis,OH,C+,A-,A-,A-,C-,B,C,A,B-,A,C,C+,C-
1297,94931,Cotati,CA,B+,B,B-,D+,A,B,A-,C+,A,C-,A,A,A-
1298,95955,Maxwell,CA,B-,C+,B+,B,B-,B-,A,C+,A-,B-,B,B,C+
1299,16852,Madisonburg,PA,B-,B,A,B-,C-,B,C+,B+,B,B+,B,B,B-
1300,25827,Crab Orchard,WV,C,C,C-,B-,B,C,C,B-,B+,A-,B-,B-,C-
1302,17225,Greencastle,PA,B,B-,B-,B-,A-,B,B-,B+,B-,B,B,B+,B
1303,31826,Shiloh,GA,B-,B,B,B+,C,B,A,B+,B+,A-,B-,B-,C+
1304,14127,Orchard Park,NY,A,A,C,A-,A-,A,C+,A-,C-,B-,A,A-,B+
1305,04108,Peaks Island,ME,A-,B+,B,C,B-,A,C+,B-,C+,C,B,A,A
1307,19541,Mohrsville,PA,C+,B+,B-,B,C,B-,C,B,B-,B-,C+,B-,B-
1310,37178,Tennessee Ridge,TN,B-,B,NG,B+,B-,B-,C,B,B-,A-,C-,C+,B
1311,62976,Pulaski,IL,C+,C-,NG,A-,C-,C,A-,C-,B,A,C+,C+,C+
1312,76950,Sonora,TX,B+,B+,A,A-,B-,B+,A,A-,A-,A,B-,D,C+
1313,28036,Davidson,NC,A+,A,C,A-,B+,A,B+,A,B+,B,A,B-,A-
1315,16820,Aaronsburg,PA,C+,B+,A,B-,C-,B,C,B-,B,B,B,B,C+
1317,73859,Vici,OK,B+,A-,A,A-,B-,B+,B,A,B-,A,C-,D,B
1318,03082,Lyndeborough,NH,C,C-,B-,C,C-,C+,C+,B+,C,C+,B-,B,C-
1319,90743,Surfside,CA,A,A+,B-,C,B,A-,A-,B+,A,C-,B+,A,C+
1320,85347,Roll,AZ,C,C-,B,B,C-,C-,B+,B,A,B+,C+,C-,B-
1322,62278,Red Bud,IL,B+,B-,A,B+,A-,A-,C+,A-,B,A-,B,B+,C+
1323,02056,Norfolk,MA,A,A-,B+,B,B-,A,B-,A-,C+,C+,A,A,B+
1324,32565,Jay,FL,B-,B+,B-,A-,B-,B-,B-,B+,B-,A-,B+,B-,C-
1325,52317,North Liberty,IA,A+,A,B,A,A,A+,B,A,B,B+,A-,C+,A-
1326,99742,Gambell,AK,C-,C,B,B+,C,C-,NG,C+,NG,A-,C+,D-,B-
1327,35058,Cullman,AL,B-,B,B,B,B-,B-,B-,B,B-,A-,B,C+,C-
1328,57442,Gettysburg,SD,B,C,A,A-,B-,B-,B,A-,NG,A,C,D,C+
1329,15922,Belsano,PA,C-,C,B-,B,C,C,C-,D,D+,A-,C+,C+,C+
1330,41527,Forest Hills,KY,C+,C+,B-,B+,C,B-,C,B-,A-,A-,C-,C+,C-
1331,70560,New Iberia,LA,A-,B,NG,A-,A-,B+,A,B-,A-,A,B-,C+,A-
1333,53540,Gotham,WI,C+,B-,A+,B,C-,B+,C+,C,C+,A,B-,B-,C-
1334,36550,Little River,AL,C,C+,B,B-,B-,D+,C+,C+,B,A,B-,C+,D-
1335,12455,Margaretville,NY,C,C-,B+,C-,A-,C-,B-,C-,C-,B-,B,B-,C+
1336,98223,Arlington,WA,B-,B,B-,C+,A-,B-,B-,B-,B-,C,A-,B+,A-
1337,94102,San Francisco,CA,A,A-,C-,C,A+,B,A+,B-,A+,C-,A+,A+,A+
1338,11433,Jamaica,NY,B-,B,NG,D-,A-,B,A,C-,B,C-,A-,A,B+
1339,43466,Wayne,OH,B,B+,A-,B+,B+,B,B-,B+,B-,A-,C+,B-,B
1340,06757,Kent,CT,B+,A,B+,D+,A-,B+,B,C-,C+,C-,B+,A-,A
1341,92861,Villa Park,CA,A-,A-,B-,C-,B-,A-,B+,B-,A,D+,A,A,A-
1343,17253,Saltillo,PA,C,D+,A,B+,C-,C+,C,B+,B,A-,C+,B-,C+
1344,64507,Saint Joseph,MO,B,B-,C,B+,A-,B,B,B-,B,A-,B,C+,B
1345,19001,Abington,PA,A,A,B,B,A,A+,A-,B,B-,C+,A,A,A-
1347,49101,Baroda,MI,B,A-,C+,A-,A-,B+,B-,B-,C,A-,C,B+,B
1349,12032,Caroga Lake,NY,B-,C-,A+,B-,C+,B-,C+,B+,C-,B,B,B,C+
1352,62897,Whittington,IL,C+,B-,B-,B,C+,B-,C,C,B,A,C,B-,C+
1354,47551,Leopold,IN,B+,B+,A+,A,B,A-,C,A,B,A,C+,B-,C+
1355,80118,Larkspur,CO,A-,B+,B+,C+,B+,B+,B-,A,B-,C-,A,A-,B-
1357,87105,Albuquerque,NM,B-,C+,C-,C+,B,C,B+,C,B+,B-,A-,B-,A-
1358,17749,Mc Ewensville,PA,C,B,B,A-,C,B-,C,B+,B-,B+,C,B-,C-
1359,86404,Lake Havasu City,AZ,C+,B-,B-,C,B+,C,B,C,C,C+,B,C+,A-
1360,64401,Agency,MO,C+,B+,C,A-,C,B-,C+,B-,B,A,C,B-,C-
1361,97381,Silverton,OR,B,B,B-,B-,A-,B-,B-,B-,B-,C+,A-,B,B
1362,55003,Bayport,MN,A,A,B+,A-,A,A-,A-,B,C+,B+,B,A-,A
1364,61930,Hindsboro,IL,B-,C+,A,B,B-,B-,C+,B+,B+,A,C+,C+,C+
1365,94963,San Geronimo,CA,A-,A+,B,C+,C+,A,C-,B,A+,C-,A-,A+,C-
1366,46710,Avilla,IN,B,B,B+,B+,B+,B,C+,B+,B,A,B-,B-,B
1368,99614,Kipnuk,AK,D-,C-,C-,C+,C,D-,NG,D+,NG,A-,C,D-,B-
1370,71366,Saint Joseph,LA,C+,C-,NG,B-,B-,C,B+,C,NG,A,C,C-,C+
1371,37846,Philadelphia,TN,C+,B-,B,B-,C,B-,B,B-,B-,A-,C+,B-,B
1372,12139,Piseco,NY,C,C,A+,B+,C+,C+,C,B+,D+,B,B-,B,C-
1373,18246,Rock Glen,PA,C-,B-,B-,C+,C,C-,C+,B,B-,A-,C,B-,C-
1375,49445,Muskegon,MI,B+,C+,C,B+,A-,B+,B-,B,C-,A-,B+,A-,B+
1376,46321,Munster,IN,A,A+,C,A-,A-,A+,A-,B,B-,B+,B+,A-,B
1377,82055,Centennial,WY,B-,B,A-,A,C+,B,NG,B,D,B,B,C,C-
1378,99780,Tok,AK,C+,B,NG,A-,B,C,NG,C+,NG,B,B-,D-,B
1380,64747,Garden City,MO,B-,B-,B-,B,A-,C+,C+,B+,B,A-,B-,C+,C+
1381,16622,Calvin,PA,C-,D+,A,B-,C-,C,C,C-,B,B+,C+,B-,C-
1382,73759,Medford,OK,B,B,A,A,B-,B+,B-,A+,B+,A,C-,D,C+
1384,77977,Placedo,TX,C-,C,C+,B,C,C,B+,B+,A-,A-,C,C-,C-
1385,80104,Castle Rock,CO,A,B+,B+,B,A-,A-,B,A,B-,C+,A+,B,A-
1387,85306,Glendale,AZ,A-,B+,C+,B,A-,B,A-,B,A,B-,A+,B+,A
1389,54001,Amery,WI,B+,A-,A-,B+,A-,A-,C+,B,C,B+,B+,A-,A-
1390,20851,Rockville,MD,A+,A+,B-,B-,A,A+,A+,B-,B,C+,A,A,A
1391,72933,Charleston,AR,B,B,B+,A-,B-,B,B-,A,B,A,C-,C+,B
1392,82329,Medicine Bow,WY,C,B,B,A-,C+,C,B-,B,D+,A-,C+,C-,C-
1394,30471,Twin City,GA,B-,C+,C,B-,B,C+,A-,C+,A,A,C+,C+,B
1395,12187,Warnerville,NY,B-,B-,A+,B-,C,B-,C+,C+,C+,C+,C+,B-,B-
1397,07027,Garwood,NJ,B,B,C+,C-,A,B,B+,C,B-,C-,A-,A,B+
1399,53205,Milwaukee,WI,C,D,C-,D,B,C-,B-,D+,C+,B+,B+,A-,A
1400,28729,Etowah,NC,B-,A,B-,C+,B-,B+,C,C+,B,B,B+,A-,C-
1404,50249,Stratford,IA,C+,B,B,A-,C+,B-,C,C+,B-,A,C+,C-,C+
1405,02366,South Carver,MA,C-,B-,B-,NG,C+,D+,A+,NG,B-,NG,C+,B,NG
1409,16040,Hilliards,PA,C,B-,A-,B-,C-,C+,C+,B,C,B+,B-,B-,C+
1410,16939,Morris Run,PA,C,C+,A-,B-,C+,C+,C,B-,B,B,C+,B,C+
1411,92268,Pioneertown,CA,C-,C,C,C-,B,D-,C+,C-,C+,C,B,B,C-
1414,15024,Cheswick,PA,A-,A+,C+,A-,A-,A-,B-,B+,C,B,B+,B+,B
1416,23316,Cheriton,VA,D+,C,B,D-,C-,C-,B+,D-,B+,C+,C,B-,B+
1417,31631,Fargo,GA,C+,C+,NG,B,C,C+,B,A+,A-,A,C+,C+,C+
1418,19962,Magnolia,DE,B+,A-,C+,B+,B,B+,A,B,B,B+,B-,B-,B
1419,29047,Elloree,SC,B-,C+,B-,B-,C+,C+,A-,B,A-,A-,B-,B-,C+
1421,74736,Garvin,OK,B-,B-,C+,A-,B-,B-,NG,A,B+,A,C-,C,C-
1422,14514,North Chili,NY,B+,A-,C,B,B-,A-,B,B+,C-,B-,A-,A-,C+
1423,95916,Berry Creek,CA,C,B-,C+,C-,B-,C-,B-,C,A,C+,B,B,C+
1425,55606,Hovland,MN,B-,C+,NG,C+,B-,C+,B-,C+,NG,B-,B-,B+,C-
1426,63140,Saint Louis,MO,C-,C-,C+,D-,B+,D+,C-,D-,B,B,B-,B+,B+
1427,14778,Saint Bonaventure,NY,C,B,B,NG,C+,C-,C-,B-,D+,NG,C+,B+,B+
1429,05476,Richford,VT,C,C-,B,C,B-,C,C,C+,C-,B-,B-,B,B
1430,97004,Beavercreek,OR,B-,B-,B,C,B-,C+,C+,B,B-,C,B,B+,A-
1431,38317,Bruceton,TN,C+,B-,B,B+,B-,B-,B,C+,B-,A,C-,C,C+
1432,18708,Shavertown,PA,A-,B+,B-,A-,B-,A-,C+,A-,B-,B,B,B+,B
1433,44086,Thompson,OH,C+,B-,A,B,B-,B-,C+,B-,D+,B,C+,B-,C+
1436,78589,San Juan,TX,C+,B-,B-,B-,B,B-,C,B,B+,B+,B-,C,B
1439,13659,Lorraine,NY,C,B-,B-,B,B,C+,C,B-,D+,B+,C+,B,C+
1440,12980,Saint Regis Falls,NY,C+,B-,A-,C+,B-,B-,C,C+,C,B+,B-,B,B
1441,90602,Whittier,CA,B-,C-,C,D-,A,C,B+,C,A,C-,A,A,A
1442,59846,Huson,MT,B-,B,C+,B-,C+,C+,B,B+,C-,C,B,B-,C+
1444,84078,Vernal,UT,B,C,B+,B,A-,B-,B-,A-,C-,B-,A,C+,A-
1445,61729,Congerville,IL,B,B,A-,A-,C,B+,C+,A,B-,A-,C+,B,B
1446,38661,Red Banks,MS,C,B-,C-,B,B-,C,A-,B-,A,A-,C-,C+,C-
1447,76933,Bronte,TX,B,B+,NG,A-,B-,B,B+,B+,A-,A,C+,D+,C+
1448,77560,Hankamer,TX,C+,B+,B,B+,C-,C,A,B-,B,A-,C+,B-,C-
1449,17968,Sacramento,PA,C+,C+,B,B-,C+,C,C,B,B,A-,C,B-,B+
1450,60472,Robbins,IL,C+,B,C-,C,B,B-,C,C-,B-,B+,B-,A-,A
1451,56684,Trail,MN,B-,B,B+,B+,B,B,B-,B+,C-,A,C+,B-,C+
1456,68304,Alvo,NE,B-,B,A,B,C,B+,C,A-,A-,B+,C,B,C+
1458,38838,Dennis,MS,B-,B+,B,A,C-,B,C-,B,A,A,C-,C+,C-
1459,46205,Indianapolis,IN,B+,C,C-,C+,A,B-,A,C,B-,B+,B+,B+,A
1460,71435,Grayson,LA,C+,B,NG,A-,C,B-,B+,B-,NG,A,C-,C,C-
1461,35586,Sulligent,AL,B,B,B,A-,B-,B,B,B,B,A,C+,C+,B
1464,14512,Naples,NY,B,B,B,B,B-,B,C+,B+,C,B,A-,B,B
1465,70733,French Settlement,LA,C,B+,C+,A-,C,B-,C+,A-,B,A,C-,C+,C-
1466,75157,Rosser,TX,C,B,B-,B,C-,C+,NG,A-,A-,A,C,B-,C-
1467,12786,White Lake,NY,C+,C+,B-,D+,B+,C+,B+,C,C,C+,B,A,C-
1468,72544,Henderson,AR,C-,B-,A,C,C-,C-,C-,B-,B+,B+,C+,C+,C-
1469,89148,Las Vegas,NV,A-,B-,C-,C+,A,B-,A+,B,A-,C,A,B+,B+
1470,84057,Orem,UT,A,B+,A-,B-,A,A,A-,B+,C+,B-,A+,A,A
1471,47529,Elnora,IN,B-,B-,B,B+,B-,B-,C,A-,B,A,C,B-,C+
1472,07675,Westwood,NJ,A,A+,A-,C,A-,A+,B+,B,B-,C-,A,A,A-
1473,48837,Grand Ledge,MI,A-,B,B+,B+,A-,A-,B-,B+,C,A-,B+,B+,A-
1474,14873,Prattsburgh,NY,B-,C+,B+,B+,B-,B-,C+,B,C,B+,B-,B,A-
1475,22003,Annandale,VA,A+,A,A-,C+,B,A+,A+,B-,B,C,A+,A,A-
1476,56523,Climax,MN,B,B-,B+,A-,B-,B,B-,A-,C-,A,C+,C,C+
1477,55441,Minneapolis,MN,A+,A+,C+,B+,A,A+,B+,A-,C+,B,A+,A,A-
1478,40220,Louisville,KY,A,B-,C-,B,A,B+,A-,A-,B,B+,A-,B+,A-
1479,73107,Oklahoma City,OK,A-,B-,C,B,A,B,A,B+,A-,A-,A-,C+,A
1480,13350,Herkimer,NY,B,C+,B,B-,A-,B-,C+,B,C-,B,B+,B-,B+
1481,78412,Corpus Christi,TX,A-,B,C,B-,A,B,A,B+,A-,B+,B,B-,A-
1482,75931,Brookeland,TX,B-,B+,B-,B+,B+,C+,C+,B,A-,A-,C+,C+,C-
1483,69141,Gurley,NE,B-,C+,B+,B+,B+,C,B+,A,NG,A,C+,C-,C+
1484,79018,Channing,TX,B-,B-,NG,B-,B-,C,B+,A,B+,A-,C+,D,B-
1485,25534,Kiahsville,WV,D-,D+,B+,D-,C-,D-,D,D+,NG,B+,C-,C+,D-
1486,60104,Bellwood,IL,B-,C-,C-,C-,A-,C+,A-,C,C+,B-,B+,A-,A
1489,76870,Priddy,TX,B,B+,NG,A-,C-,B,B+,B-,A,A+,B-,C-,C+
1490,32086,Saint Augustine,FL,A-,B+,C,B,A-,B,B,A-,A,B,A,B,B+
1492,57331,Dimock,SD,B,B+,A+,A,B-,B+,C,A,C,A,C,D-,C+
1493,05201,Bennington,VT,B,C,B-,C-,A-,B-,B-,C+,C,C+,A,A,A
1494,14037,Cowlesville,NY,B-,B-,A-,A-,B-,B,C,A-,C-,B+,B-,B,C+
1495,29935,Port Royal,SC,B+,B,C+,C+,B+,B,A,B,A-,B,A,A-,C+
1497,56591,White Earth,MN,B-,C+,A-,A,C+,B,NG,B-,C-,A,C+,C+,B-
1499,31551,Mershon,GA,C+,B+,C,B+,C-,B-,A-,B-,A,A+,C,C+,C+
1500,02911,North Providence,RI,B+,B-,B-,C+,A,B,B+,B-,B-,B-,B+,A,B
1501,96132,Termo,CA,C-,C+,C+,B,C-,C,C+,B,C+,B,B,C+,C-
1502,46406,Gary,IN,C+,D-,C,C-,B,C,A-,C-,B-,A-,B-,B+,A-
1503,74941,Keota,OK,C+,C+,A-,A-,C,B-,NG,B-,B+,A,C-,C+,C+
1504,67638,Gaylord,KS,B,B+,NG,A-,C-,A-,B+,B,C+,A+,C+,C,C+
1505,36444,Franklin,AL,D+,C,C,D+,C-,D+,C+,D+,B+,B+,C,B-,C+
1506,60007,Elk Grove Village,IL,A,A,C-,B-,A-,A,B+,B,C+,B-,A,A,A-
1507,54652,Readstown,WI,B-,B,A-,B,B-,B-,C+,C+,C,A-,C,C-,A-
1509,38623,Darling,MS,D,C,NG,C+,C,C,C-,D-,B+,B+,C-,C+,C-
1510,18248,Sheppton,PA,C,B-,B,B-,C-,C+,B+,C+,B-,B,C,B-,C+
1511,28741,Highlands,NC,B+,B,B,C+,A-,B+,C+,B-,C+,C+,B,A-,B
1512,26032,Bethany,WV,A-,B-,B+,A-,B,B,C+,A,C+,A,C,C+,B+
1513,71328,Deville,LA,C+,B,C-,A-,C,C+,C+,B+,A-,A-,C-,C+,A-
1514,61919,Camargo,IL,B-,B,A,B,B-,B,C,B+,B+,A-,C+,C+,C+
1515,48767,Unionville,MI,B-,B-,B+,B+,B-,B,C+,B-,C+,A,C,B+,C+
1516,94515,Calistoga,CA,B+,B-,B-,C-,A-,B-,A,B,A+,C-,A,B+,A
1517,47431,Freedom,IN,C,C+,NG,B,C,C,C,C,B-,A,C,B-,C+
